GO:0000016	EC:3.2.1.108	LACTASE-RXN
GO:0000025	NA	MALTOSECAT-PWY
GO:0000034	EC:3.5.4.2	ADENINE-DEAMINASE-RXN
GO:0000048	EC:2.3.2.12	PEPTIDYLTRANSFERASE-RXN
GO:0000104	NA	SUCC-FUM-OXRED-RXN
GO:0000105	NA	HISTSYN-PWY
GO:0000107	NA	GLUTAMIDOTRANS-RXN
GO:0000121	EC:3.1.3.21	GLYCEROL-1-PHOSPHATASE-RXN
GO:0000140	EC:1.1.1.101	ACYLGLYCERONE-PHOSPHATE-REDUCTASE-RXN
GO:0000162	NA	TRPSYN-PWY
GO:0000210	EC:3.6.1.22	NADPYROPHOSPHAT-RXN
GO:0000213	EC:3.1.27.9	3.1.27.9-RXN
GO:0000215	EC:2.7.1.160	2.7.1.160-RXN
GO:0000224	EC:3.5.1.52	3.5.1.52-RXN
GO:0000225	EC:3.5.1.89	3.1.1.69-RXN
GO:0000234	EC:2.1.1.103	2.1.1.103-RXN
GO:0000246	EC:1.3.1.71	1.3.1.71-RXN
GO:0000250	EC:5.4.99.7	LANOSTEROL-SYNTHASE-RXN
GO:0000253	EC:1.1.1.270	RXN66-319
GO:0000254	EC:1.14.18.9	1.14.13.72-RXN
GO:0000257	EC:3.5.5.1	3.5.5.1-RXN
GO:0000277	EC:2.1.1.59	2.1.1.59-RXN
GO:0000285	EC:2.7.1.150	2.7.1.150-RXN
GO:0000286	EC:1.4.1.1	ALANINE-DEHYDROGENASE-RXN
GO:0000298	EC:3.6.1.10	ENDOPOLYPHOSPHATASE-RXN
GO:0000309	EC:2.7.7.1	2.7.7.1-RXN
GO:0000310	EC:2.4.2.22	XANPRIBOSYLTRAN-RXN
GO:0000334	EC:1.13.11.6	1.13.11.6-RXN
GO:0000721	EC:1.1.1.4	RR-BUTANEDIOL-DEHYDROGENASE-RXN
GO:0000773	EC:2.1.1.71	2.1.1.71-RXN
GO:0000810	EC:3.1.3.81	RXN-11277
GO:0000823	EC:2.7.1.151	2.7.1.151-RXN
GO:0000825	NA	RXN-7184
GO:0000832	EC:2.7.4.21	2.7.1.152-RXN
GO:0000906	EC:2.5.1.78	LUMAZINESYN-RXN
GO:0000908	EC:1.14.11.17	RXN0-299
GO:0001512	EC:1.10.5.1	1.10.99.2-RXN
GO:0001561	NA	PWY-2501
GO:0001567	EC:1.14.99.38	1.14.99.38-RXN
GO:0001665	EC:2.4.99.3	2.4.99.3-RXN
GO:0001680	NA	TRNA-CYTIDYLYLTRANSFERASE-RXN
GO:0001681	EC:3.1.1.53	SIALATE-O-ACETYLESTERASE-RXN
GO:0001716	EC:1.4.3.2	L-AMINO-ACID-OXIDASE-RXN
GO:0001729	EC:2.7.1.138	CERAMIDE-KINASE-RXN
GO:0001730	EC:2.7.7.84	RXN-13648
GO:0001733	EC:2.8.2.11	GALACTOSYLCERAMIDE-SULFOTRANSFERASE-RXN
GO:0001735	EC:1.8.3.5	1.8.3.5-RXN
GO:0001758	EC:1.2.1.36	RETINAL-DEHYDROGENASE-RXN
